0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,400,200,60,80,150,75,75,30,160,30,25,35,0,0
400,0,50,120,20,180,90,15,130,20,10,5,10,0,0
200,50,0,0,0,90,100,15,90,0,20,5,5,0,0
60,120,0,0,50,5,0,0,15,0,10,5,0,0,0
80,20,0,50,0,0,100,30,880,0,10,0,0,0,0
180,180,90,5,0,0,0,0,30,880,0,15,0,0,0
75,90,100,0,100,0,0,50,440,35,10,15,10,5,0
75,15,15,0,30,0,50,0,35,20,20,5,0,0,0
30,130,90,15,90,30,440,35,0,600,0,75,95,15,0
160,20,0,0,0,880,35,20,10,0,5,25,50,200,0
30,10,20,20,20,10,25,20,0,0,0,10,75,95,0
25,5,5,5,0,15,10,5,0,0,10,0,10,45,0
35,10,5,0,0,0,10,0,0,0,5,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
